GeneCluster	Gene	HyPhy_result	Detection_rate
Soil_0124377794_COG0553	DSM_0327988471	NS_HV	2.95
Soil_0124377794_COG0553	DSM_0330774272	NS_HV	2.3
Soil_0124377794_COG0553	DSM_0333989487	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0336907386	NS_HV	2.3
Soil_0124377794_COG0553	DSM_0337103413	NS_HV	5.57
Soil_0124377794_COG0553	DSM_0342419927	NS_HV	2.62
Soil_0124377794_COG0553	DSM_0349798828	NS_HV	4.26
Soil_0124377794_COG0553	DSM_0350603858	NS_HV	7.87
Soil_0124377794_COG0553	DSM_0352771174	NS_HV	3.61
Soil_0124377794_COG0553	DSM_0359093756	NS_HV	9.18
Soil_0124377794_COG0553	DSM_0370332205	NS_HV	0.66
Soil_0124377794_COG0553	DSM_0371222571	NS_HV	2.62
Soil_0124377794_COG0553	DSM_0380275001	NS_HV	0.33
Soil_0124377794_COG0553	DSM_0387311060	NS_HV	12.79
Soil_0124377794_COG0553	DSM_0392154635	NS_HV	2.62
Soil_0124377794_COG0553	DSM_0395525097	NS_HV	0.98
